-Brevibacterium- frigoritolerans
Acinetobacter johnsonii
Acinetobacter lwoffii
Acinetobacter pittii
Agrococcus baldri
Arthrobacter bussei
Bacillus aerius
Bacillus cereus
Bacillus infantis
Bacillus licheniformis
Bacillus marisflavi
Bacillus proteolyticus
Bacillus thuringiensis
Bacillus wiedmannii
Brachybacterium paraconglomeratum
Brevibacterium sediminis
Brevibacterium senegalense
Brevundimonas bullata
Brevundimonas diminuta
Brevundimonas vesicularis
Chryseobacterium cucumeris
Chryseobacterium gwangjuense
Chryseobacterium taihuense
Corynebacterium doosanense
Corynebacterium glutamicum
Dermacoccus profundi
Dietzia cercidiphylli
Dietzia cinnamea
Exiguobacterium acetylicum
Kocuria carniphila
Kocuria gwangalliensis
Kocuria marina
Kocuria oceani
Kocuria palustris
Kocuria rhizophila
Kocuria rosea
Kocuria salsicia
Leucobacter chromiiresistens
Lysinibacillus pakistanensis
Lysinibacillus parviboronicapiens
Mammaliicoccus sciuri
Massilia agri
Massilia haematophila
Microbacterium arborescens
Microbacterium oxydans
Microbacterium proteolyticum
Microbacterium testaceum
Micrococcus aloeverae
Micrococcus antarcticus
Micrococcus yunnanensis
Moraxella osloensis
Neomicrococcus lactis
Nocardia globerula
Paenarthrobacter nicotinovorans
Paenibacillus bovis
Paenibacillus macquariensis
Paenibacillus terrigena
Planomicrobium okeanokoites
Priestia aryabhattai
Priestia megaterium
Pseudarthrobacter oxydans
Pseudarthrobacter sulfonivorans
Pseudomonas parafulva
Pseudomonas plecoglossicida
Pseudomonas psychrotolerans
Pseudomonas putida
Pseudomonas straminea
Psychrobacillus psychrodurans
Rhodococcus biphenylivorans
Rhodococcus fascians
Rosenbergiella epipactidis
Roseomonas mucosa
Staphylococcus edaphicus
Streptomyces badius
Williamsia muralis
