Alternaria alternata
Annulohypoxylon truncatum
Arthrinium camelliae-sinensis
Aspergillus niger
Bjerkandera adusta
Chaetomium globosum
Coprinellus radians
Fusarium fujikuroi
Fusarium incarnatum
Fusarium proliferatum
Hypocrea lutea
Irpex lacteus
Microdochium albescens
Moesziomyces aphidis
Penicillium brasilianum
Penicillium chrysogenum
Penicillium glabrum
Penicillium oxalicum
Penicillium rolfsii
Penicillium sclerotiorum
Phanerochaete sordida
Phlebia tremellosa
Rhodotorula dairenensis
Rhodotorula glutinis
Schizophyllum commune
Trametes versicolor
Trichoderma harzianum
penicillum crustosum
